user,message
Sovan MnC,"Dedicated to JC
"
-- Raja,"West Bengal me kaha ghar hai uska?
"
Sovan MnC,"Durgapur sayad
"
Sovan MnC,"Gunda leke jayega kya 🤣
"
-- Raja,"Nehi ML ka kuch doubt tha
"
Ankit Anand Mnc,"GaWd level dedication 😝😝😝
"
Rishav Ranaut(MnC) Roommate,"Jarha hu guys
"
-- Raja,"✌🏼
"
Manisha Jaishwal Mnc,"Jda tayar ho kr mt jna
"
Rishav Ranaut(MnC) Roommate,"Peet jaogi tum
"
Ankit Anand Mnc,"Kisi ko kahi jana ho to Isko bula Lena
"
Ankit Anand Mnc,"821-0440727
"
Ankit Anand Mnc,"Dhananjay Kumar
"
Ankit Anand Mnc,"Auto driver
"
Manisha Jaishwal Mnc,"Pahuch gye n shi se ?
"
Manisha Jaishwal Mnc,"https://www.instagram.com/reel/Cy8sml6SEgt/?igshid=MzRlODBiNWFlZA==
"
Manisha Jaishwal Mnc,"Ye mst lgta thandi me
"
Abhishek MnC,"Thand me..🙄....isi ki baat kr rhi ho na..? <This message was edited>
"
Manisha Jaishwal Mnc,"chura tha n
"
Manisha Jaishwal Mnc,"Fry kiya hua
"
Manisha Jaishwal Mnc,"Thand me hi toh bnta h
"
Abhishek MnC,"Ha sahi bol rhi ho ....achha lagta h thand me😌
"
Ashish Mnc,"Le kr arhi kya Ghar se bnwa ke?
"
Abhishek MnC,"https://www.instagram.com/reel/C0OGPz2ISBR/?igshid=MTRhZmU1ODE2NA==
"
Ashish Mnc,"Sapne to bhut bade dekh rha hai tu
"
Abhishek MnC,"Sabka sath sabka Vikas 😁
"
Ashish Mnc,"Cake katega sbme batega
"
Manisha Jaishwal Mnc,"Jau tb n
"
Ashish Mnc,"Suraj jarha kal Patna
"
Manisha Jaishwal Mnc,"Bhut imp kaam k liye ja rha
"
Manisha Jaishwal Mnc,"Ye mst lg rha
"
Manisha Jaishwal Mnc,"Happy Birthday @918016037286 🎉🎈
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Ankit Anand Mnc,"Happy Birthday 🥳 @918016037286 Bhai 🍺🍾🎊
"
Asutosh MnC,"<Media omitted>
"
Asutosh MnC,"Happy birthday mintu
"
Shakti Singh Mnc,"Happy birthday @918016037286  bhai 🎂
"
Ankit Anand Mnc,"<Media omitted>
"
Ankit Anand Mnc,"🥳🥳🥳
"
Ankit Anand Mnc,"🫶
"
Mintu MnC,"Thank you Everyone.
"
Abhishek MnC,"Happy birthday boshiwale bhai ❤️
"
Ashish Mnc,"Happy Birthday Mintu Bhai🎊
"
Ashish Mnc,"https://www.instagram.com/reel/C0RlSBYtS1E/?igshid=NGEwZGU0MjU5Mw==
"
Rishav Ranaut(MnC) Roommate,"Happy birthday @918016037286  🎂
"
Intaz Mnc,"Happy Birthday @918016037286 da 🎂🎉🥳
"
Intaz Mnc,"Ye toh mera takia h
"
Ashish Mnc,"😂
"
Ankit Anand(MnC) Ranchi..Dost,"Noice 👏
"
Ashish Mnc,"Apna takia use nhi kr rha Mintu
"
Mintu MnC,"Obe Ashu Aisa rup le liye muche wo karna para
"
Mintu MnC,"Takia merekeo protect kar raha tha
"
Manisha Jaishwal Mnc,"Uska bhi din aayega
"
Mintu MnC,"Vag raha h
"
Sovan MnC,"Happy birthday @918016037286  bhai
"
Lucky MnC,"Happy birthday @918016037286 bhai🥳🎂🍻
"
Mintu MnC,"Thank you Bhai
"
Suraj Kumar,"Happy Birthday Mintu
"
Souvik IIT Patna MnC,"Happy Birthday Mintu🫡
"
Mintu MnC,"Thanks bro😍😍😍 <This message was edited>
"
Mintu MnC,"Thanks bhai🥰🥰
"
Rishav Ranaut(MnC) Roommate,"Good morning
"
Manisha Jaishwal Mnc,"Glt jagah msg kr diye kya??
"
Rishav Ranaut(MnC) Roommate,"Kya
"
Manisha Jaishwal Mnc,"Nhi kch
"
Rishav Ranaut(MnC) Roommate,"Kya krri
"
Manisha Jaishwal Mnc,"Soo kr uthi hu
"
Manisha Jaishwal Mnc,"Brkfast miss ho gya
"
Manisha Jaishwal Mnc,"Ab lunch ka wait kr rhi 🤣
"
Manisha Jaishwal Mnc,"Oye tum Patna pahuch gye n ...koi utha nhi liya n??
"
Rishav Ranaut(MnC) Roommate,"Kanpur hu
"
Ashish Mnc," Students who are interested to check their end sem copies can come tomorrow in the second half 
Time   2-3  
Venue  HSS department
NB Noone will be allowed after the stipulated time. Please remember that.
"
Ashish Mnc,"Those students who have left/will not be on campus tomorrow, ask your friends to check the copies on behalf of you.
"
Manisha Jaishwal Mnc,"@919816668240 tmhari copy me dekh lungi tum tnsn Mt lena <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"Inko copies dikhani kyun hain
"
Manisha Jaishwal Mnc,"May be overall marks calculation me error ho
"
Rishav Ranaut(MnC) Roommate,"Ok
"
Ashish Mnc,"Meri bhi dekh lena aur calculation krke bhi check krlena <This message was edited>
"
Manisha Jaishwal Mnc,"Aur kisi ki copy dekhni h ??
"
Intaz Mnc,"+1
"
Manisha Jaishwal Mnc,"Ok
"
Ankit Anand Mnc,"Mera bhi
"
Ankit Anand Mnc,"Bs acche se cross verify kar Lena 🙏
"
Manisha Jaishwal Mnc,"Ok
"
Manisha Jaishwal Mnc,"Sbka ho jayega jo yha nhi h
"
Rishav Ranaut(MnC) Roommate,"Bas tum saanp bale kaam mt krna
"
Rishav Ranaut(MnC) Roommate,"Wese me bolrkha hu shakti ko to rehne dena
"
Manisha Jaishwal Mnc,"Saanp hu mai 🤣🤣🤣
"
Rishav Ranaut(MnC) Roommate,"Yea
"
Manisha Jaishwal Mnc,"Acha
"
Rishav Ranaut(MnC) Roommate,"Meri dard krne lg gyi hai beth beth ke
"
Manisha Jaishwal Mnc,"Soo jao
"
Rishav Ranaut(MnC) Roommate,"Bhak
"
Manisha Jaishwal Mnc,"Tmhare 4 number Maine bdhwaye aur mai hi saanp hu
"
Manisha Jaishwal Mnc,"Ab se nhi btaungi
"
Rishav Ranaut(MnC) Roommate,"Cute mt bno
"
Manisha Jaishwal Mnc,"Already hu
"
Rishav Ranaut(MnC) Roommate,"🤣😂🤣😂🤣😂🤣😂
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Ashish Mnc,"Ye konsi story hai Jo mujhe pta nhi
"
Rishav Ranaut(MnC) Roommate,"😂😂
"
Rishav Ranaut(MnC) Roommate,"Pucho ise
"
Ankit Anand(MnC) Ranchi..Dost,"English me badha tha?
"
Ashish Mnc,"Nhi badha tha kisi ka
"
Ashish Mnc,"Tu bta na
"
Ankit Anand(MnC) Ranchi..Dost,"Accha bhai
"
Rishav Ranaut(MnC) Roommate,"Hai bhai saanp ye
"
Manisha Jaishwal Mnc,"Yrr maine kya kiya
"
Rishav Ranaut(MnC) Roommate,"Bahut kuch
"
Manisha Jaishwal Mnc,"Jao re rkho apna Paper
"
Rishav Ranaut(MnC) Roommate,"Chidh gyi
"
Rishav Ranaut(MnC) Roommate,"Good
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Ashish Mnc,"Left krne valo ko add nhi krunga me 
Bta derha
"
Manisha Jaishwal Mnc,"Aaya @918839279483 kidhr ho tum dikhte kyu nhi
"
Manisha Jaishwal Mnc,"Wahh
"
Rishav Ranaut(MnC) Roommate,"@917903412729
"
Lucky MnC,"Tomorrow likha hai.. toh kal jaana hai na ans sheet dekhne
"
Lucky MnC,"??
"
Manisha Jaishwal Mnc,"Tum left kr rhe n mai thodi kr rhi
"
Ashish Mnc,"Ha
"
Manisha Jaishwal Mnc,"Ha
"
Rishav Ranaut(MnC) Roommate,"Chidhi to tum ho
"
Manisha Jaishwal Mnc,"Ye sb hrkt meri nhi h
"
Rishav Ranaut(MnC) Roommate,"Achaaaa
"
Ashish Mnc,"Tum dono call pr baat krke ladd lo
"
Manisha Jaishwal Mnc,"Tmhara side upper h?
"
Rishav Ranaut(MnC) Roommate,"Meko kaan pyare hain apne
"
Rishav Ranaut(MnC) Roommate,"Kya
"
Manisha Jaishwal Mnc,"Beh mai isko call nhi krti
"
Rishav Ranaut(MnC) Roommate,"3 3 seats jisme hoti wo upper h
"
Manisha Jaishwal Mnc,"Train me seat
"
Manisha Jaishwal Mnc,"Acha bekar h tb toh
"
Rishav Ranaut(MnC) Roommate,"Side upper sahi lgta tmko?
"
Manisha Jaishwal Mnc,"Soye rho
"
Manisha Jaishwal Mnc,"Side lower best hota
"
Ashish Mnc,"Abe to din ke timing me us seats ko niche Krna rhta
"
Rishav Ranaut(MnC) Roommate,"Niche hi betha hun me
"
Ashish Mnc,"Aur niche jakr baith skte tum
"
Manisha Jaishwal Mnc,"Vo nhi krta hoga bhut ziddi h
"
Rishav Ranaut(MnC) Roommate,"Waah
"
Rishav Ranaut(MnC) Roommate,"Kon bolrha deko
"
Manisha Jaishwal Mnc,"Aur kch btane layak ??
"
Ashish Mnc,"Ha
"
Manisha Jaishwal Mnc,"Mai bol rhi
"
Rishav Ranaut(MnC) Roommate,"Kya hua koi agya hai to darogi ni tum ab
"
Manisha Jaishwal Mnc,"Btao
"
Manisha Jaishwal Mnc,"Mai kisi se nhi drti
"
Rishav Ranaut(MnC) Roommate,"😁
"
Ashish Mnc,"Delhi me behak Mt Jana Rishav
Ghar valo ke saath rhna
"
Manisha Jaishwal Mnc,"Tmko koi Patna me bhaga k le jne ki kosis nhi kiya h?
"
Rishav Ranaut(MnC) Roommate,"Me jarha us gali
"
Manisha Jaishwal Mnc,"Areh ghr walo k samne toh isse sidha koi hoga hi nhi
"
-- Raja,"Kya hua bsdk
"
Manisha Jaishwal Mnc,"Jiju aaye the tb ye bolta bhi nhi tha
"
Rishav Ranaut(MnC) Roommate,"Nhi muh kala krlia tha me
"
Ashish Mnc,"Bhaga ke le jata to abhi tk news agyi hoti 
Ladke ki kidnap krke krwayi zabardasti saadi
"
Manisha Jaishwal Mnc,"Ldke ko nhi psnd thi ldki
"
Ashish Mnc,"Respect bolte isko
"
Rishav Ranaut(MnC) Roommate,"♥️
"
Manisha Jaishwal Mnc,"Mtlb kch nhi bolta tha
"
Ashish Mnc,"Isiliye to kidnap kiya na
"
Manisha Jaishwal Mnc,"Bhakk re tum q aa rhe bich me
"
Ashish Mnc,"Thik hai🤫
"
Rishav Ranaut(MnC) Roommate,"Meri train 2 ghante pehle lg gyi thi junction p3
"
Souvik IIT Patna MnC,"Mera bhi dekh lena
"
Rishav Ranaut(MnC) Roommate,"Kisi or se dikhwa le
"
Ashish Mnc,"Aage likh do copy
"
Rishav Ranaut(MnC) Roommate,"Ldki pr bhrosa nhi krna
"
Manisha Jaishwal Mnc,"Ha sbka Paper dekh k marks bdhwane ki kosis rhegi but Rishav ka toh bilkul nhi
"
Manisha Jaishwal Mnc,"Tmhare 4 marks mai hi badhwayi hu shrm kro thoda bolne me
"
Ashish Mnc,"Bol to aise rhi jaise yhi TA hai
"
Rishav Ranaut(MnC) Roommate,"Woi
"
Rishav Ranaut(MnC) Roommate,"😂
"
Manisha Jaishwal Mnc,"TA obviously hu mai
"
Souvik IIT Patna MnC,"Hari Om!
"
Rishav Ranaut(MnC) Roommate,"Mene kitne bcho k bdhwaye uska ni bologi
"
Ankit Anand Mnc,"Aaj lagta h Manisha Pura mood me hai , Sigma Girl 😎
"
Manisha Jaishwal Mnc,"Jao n start maine hi Kiya tha
"
Rishav Ranaut(MnC) Roommate,"Bhak
"
Ashish Mnc,"Ha but technical communication ki to nhi hai na
"
Manisha Jaishwal Mnc,"Toh tmne TC thodi bola
"
Ashish Mnc,"Baat tbse usi subject ki horhi
"
Rishav Ranaut(MnC) Roommate,"Noob hai ye
"
Ashish Mnc,"Noobdi
"
Manisha Jaishwal Mnc,"Bkwas kr lo aa k copy @919816668240 tum khud dekh Lena aur tmhara bs chlta n toh tum aa bhi jate
"
Manisha Jaishwal Mnc,"Abhi tmne Souvik ko bola vo nhi dikha
"
Rishav Ranaut(MnC) Roommate,"Nhi mene already set krdia sb
"
Rishav Ranaut(MnC) Roommate,"Bot
"
Ashish Mnc,"Paise hone chahiye ab phir se ticket lene k
"
Manisha Jaishwal Mnc,"Jao re copy ki kya zarurat tum aise bhi sb shi bnate tm direct Result dekhna
"
Ashish Mnc,"Are baap re😂
"
Rishav Ranaut(MnC) Roommate,"Makhan lgari ab
"
Manisha Jaishwal Mnc,"Sbko unke copy ka pic bhej denge sb apna khud se dekhna 2-3 me
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"Bhut Ameer h
"
Rishav Ranaut(MnC) Roommate,"🙃
"
Manisha Jaishwal Mnc,"Bye guys mera ho gya
"
Ashish Mnc,"Makhan tbhi lgta jb roast Krna ho
"
Rishav Ranaut(MnC) Roommate,"Noob manisha
"
Manisha Jaishwal Mnc,"Tmhare jaisa pro hona bhi nhi h
"
Rishav Ranaut(MnC) Roommate,"Kisme pro wo bi bta do
"
Ashish Mnc,"Vo abhi Sikh rha
"
Lucky MnC,"Dept attendance done
"
Manisha Jaishwal Mnc,"Mere ko kya pta
"
Rishav Ranaut(MnC) Roommate,"Lord lucky
"
Ashish Mnc,"Pichle mahine ki bhi lga dena
"
Ashish Mnc,"29 ka
"
Rishav Ranaut(MnC) Roommate,"Han kya😎
"
Lucky MnC,"jiska jo jo bacha tha sb laga diya... bas iss month se khushbu ka nhi lagaya
"
Ashish Mnc,"Perfect
"
Souvik IIT Patna MnC,"Sigma
"
Rishav Ranaut(MnC) Roommate,"Lord
"
Manisha Jaishwal Mnc,"Just looking like h wow 🤣
"
Rishav Ranaut(MnC) Roommate,"Ye b ni ata bolne
"
Manisha Jaishwal Mnc,"Shutup
"
Rishav Ranaut(MnC) Roommate,"Kab sikhegi ye
"
Manisha Jaishwal Mnc,"Bye
"
Rishav Ranaut(MnC) Roommate,"Bhago
"
Ashish Mnc,"Padhne jarhi
"
Rishav Ranaut(MnC) Roommate,"2nd sem ka
"
Ashish Mnc,"Ha
"
Ashish Mnc,"Raja ka sahi hai 
Bat pakad liya hai aur bachcho ko fielding krwa rha
"
Rishav Ranaut(MnC) Roommate,"Taange dekhi iski shot to ese mara jese samne dale steyn ho
"
Ashish Mnc,"Sharam bhi nhi arhi bachcho ko itna tez shot marte huye <This message was edited>
"
Rishav Ranaut(MnC) Roommate,"Upr se flex
"
Ashish Mnc,"😂
"
Ashish Mnc,"Agli baar se Raja ka status mujhe nhi dikhne vala
"
-- Raja,"Nehi re..aisa kuch nehi hai
"
Rishav Ranaut(MnC) Roommate,"Me kr chuka dm me roast ise
"
-- Raja,"Sab chalega
"
Asutosh MnC,"<Media omitted>
"
Rishav Ranaut(MnC) Roommate,"<Media omitted>
"
Manisha Jaishwal Mnc,"Chat ?
"
Rishav Ranaut(MnC) Roommate,"Yo
"
Manisha Jaishwal Mnc,"👍
"
Manisha Jaishwal Mnc,"https://www.instagram.com/reel/C0LU-dNo8s-/?igshid=MzRlODBiNWFlZA==
"
Rishav Ranaut(MnC) Roommate,"<Media omitted>
"
Ankit Anand Mnc,"@919816668240 ka Aaj Pura party chal raha h 😍
"
Ankit Anand Mnc,"Didi jijaji ke paas h na ?
"
Ashish Mnc,"Ye Bina invitation kisi Saadi me ghus gya lgta😂
"
Rishav Ranaut(MnC) Roommate,"Han
"
Rishav Ranaut(MnC) Roommate,"😂😂😂
"
Rishav Ranaut(MnC) Roommate,"Sahi me
"
Rishav Ranaut(MnC) Roommate,"Pet bhr gya mera
"
Ankit Anand Mnc,"Ek number
"
Ankit Anand Mnc,"👌👌👌
"
Rishav Ranaut(MnC) Roommate,"Kal kuch ni khaya tha ..aj bhagwan 36 bhog de rha
"
Ankit Anand Mnc,"Bhanji h teri ya bhanja?
"
Manisha Jaishwal Mnc,"Gym jne ka koi fyada nhi rhega
"
Rishav Ranaut(MnC) Roommate,"Bhanji
"
Rishav Ranaut(MnC) Roommate,"Me khn jata hu
"
Manisha Jaishwal Mnc,"Bhut choti h
"
Manisha Jaishwal Mnc,"?
"
Ankit Anand Mnc,"😍
"
Ankit Anand Mnc,"Cutii pieee
"
Shakti Singh Mnc,"@917905298719  admin power dikao Or @919816668240 ko group se nikalo jab tek ye vapas nahi aata h tb tek ke liye... 🤤
"
Manisha Jaishwal Mnc,"Ha ha jldi yha se hto
"
Mintu MnC,"Bas tu Ane k time kuch accha le kar ana
"
Shakti Singh Mnc,"Ha @919816668240  ki bt kr rha h na😁
"
Manisha Jaishwal Mnc,"Tum bday se phele nikl gye taki pitayi nhi ho ske tmhari
"
Rishav Ranaut(MnC) Roommate,"🤣😂🤣😂🤣😂🤣😂😂
"
Manisha Jaishwal Mnc,"Chodna mt Ashutosh ko chun chun k badla lena. 🤣🤣
"
Manisha Jaishwal Mnc,"Happy Birthday Shokti 🎈🎉🎁🎉🎂
"
Shakti Singh Mnc,"Isko kal kal or bhara rhene de Tu... Ese bolegi to ye kal aa jiega😬😬😬
"
Mintu MnC,"M ja  Raha hu Shakti kuch pahana h to pahan lo
"
Manisha Jaishwal Mnc,"Bday toh lekin tmhara chl rha smbhal k jna🤣
"
Shakti Singh Mnc,"Bhai phele door lock kiya mene🤣🤣🤣
"
Mintu MnC,"12 k bad chalunga na <This message was edited>
"
Shakti Singh Mnc,"Vese abi tek 4 he date chl rhi h🤣🤣🤣
"
Ankit Anand Mnc,"Bhai tm male h , chalunga Bol bhai 😂🤣🤣🤣😂
"
Mintu MnC,"🤣🤣🤣🤣
"
Asutosh MnC,"*Chodhna 😑😑 <This message was edited>
"
Ankit Anand Mnc,"🤣🤣🤣
"
Rishav Ranaut(MnC) Roommate,"Shokti
"
Shakti Singh Mnc,"Bhai tu ruk ja @918016037286 aa jiega
"
Shakti Singh Mnc,"🤣
"
Rishav Ranaut(MnC) Roommate,"Kya hua shokti
"
Shakti Singh Mnc,"Bhai tune le li kya aaj??
"
Mintu MnC,"""Shokti "" kya huya🤣🤣🤣
"
Rishav Ranaut(MnC) Roommate,"Abi ni
"
Rishav Ranaut(MnC) Roommate,"Shokti mene rosgulla khaya
"
Shakti Singh Mnc,"Bhai usme daru to nahi dali na??
"
Rishav Ranaut(MnC) Roommate,"Nohi shokti
"
Ankit Anand Mnc,"Happy Birthday 222 uuu 🫶🥳🥳🥳🍺🍾🎊🎈@917891273930 🎊🎉🥳🥳🥳
"
Intaz Mnc,"Happy Birthday @917891273930 🥳🎉🎂
"
Shakti Singh Mnc,"Thank u bhai
"
Shakti Singh Mnc,"Thank u bhai🙇🏻‍♂️
"
PROLAY KAYAL,"Happy birthday @917891273930 ❤️❤️❤️❤️❤️🎊🎉🎊🎊🎊🎉🥳🥳🥳🥳🥳
"
"Sujit MNC Das(Patna, Howrah)","Happy Birthday Shakti bhaya ❤️✨🤩
"
"Sujit MNC Das(Patna, Howrah)","Janamdin mubarak ho ✨❤️
"
Shakti Singh Mnc,"Thank u भाईयो❤️❤️
"
Mintu MnC,"Subha paida dibas Shakti bhai🥳🥳🥳🥳🎂🎂🎂
"
PROLAY KAYAL,"😊😊😊😊
"
Shakti Singh Mnc,"Thank u @918016037286 bhai
"
Mintu MnC,"So giya tha yr
"
Shakti Singh Mnc,"Koyi nahi bhai
"
Shakti Singh Mnc,"Wo sab ja rhe the isly kiya tha call
"
Mintu MnC,"Accha
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"Ye Nescafe wale free me de rhe but isko exp date h
"
Manisha Jaishwal Mnc,"Mt lena
"
Manisha Jaishwal Mnc,"Savdhan rhe satark rhe
"
Lucky MnC,"Tum bhi mia khalifa se savdhan rho.. satark rho
"
Abhishek MnC," Remainder kal pani ni aane wlaa h ...to jaldi uth jaana sab
"
Ashish Mnc,"https://x.com/Prof_Cheems/status/1731635564288639080?s=08
"
Abhishek MnC,"So ja aude
"
Ashish Mnc,"Soch rha hu ab breakfast krke hi soyu
"
Abhishek MnC,"Mst aag taap rhe the ...jaldi tumhi ko tha
"
Ashish Mnc,"Machchar kaat rha tha be
"
Ashish Mnc,"https://x.com/desimojito/status/1731705692162335067?s=08
"
Abhishek MnC,"https://www.instagram.com/reel/C0bp4mprCGv/?igshid=MTRhZmU1ODE2NA==
"
Abhishek MnC,"Dhaniya chatni ke sath...😋
"
Rishav Ranaut(MnC) Roommate,"Happy birthday @917891273930 loveday
"
dhruv MnC,"Happy birthday @917891273930 🍻
"
Asutosh MnC,"Happy birthday Shakti 🎉🥳
"
Manisha Jaishwal Mnc,"Pani bhr k rkh lu kya??
"
Manisha Jaishwal Mnc,"Kl Pani nhi aayegi
"
Manisha Jaishwal Mnc,"Ek bucket soch rhi rkh leti
"
Asutosh MnC,"Boys hostel mein Pani kab khatm ho raha hai
"
Lucky MnC,"Aaj 9:30AM - 7:00PM
"
Lucky MnC,"Paani nhi rhega
"
Lucky MnC,"<Media omitted>
"
Khusboo,"Happy birthday @917891273930
"
Shakti Singh Mnc,"Thank u @919816668240
"
Shakti Singh Mnc,"Thank u @917849932214
"
Shakti Singh Mnc,"Thank u @919123870910
"
Shakti Singh Mnc,"Thank u @919971327753
"
Manisha Jaishwal Mnc,"Agr Pani nhi h toh contact @918839279483
"
Lucky MnC,"ladki mile tbhi contact krna😂
"
Rishav Ranaut(MnC) Roommate,"Sher animal sher ko dekhega aaj
"
Manisha Jaishwal Mnc,"Sher kaun h
"
Manisha Jaishwal Mnc," Gentle reminder! 
Please note the timing is 2  to 3 . It’s not 10 .
"
Manisha Jaishwal Mnc,"<Media omitted>
"
Manisha Jaishwal Mnc,"AI Paper
"
Rishav Ranaut(MnC) Roommate,"Msc bale b ai pdhte kya
"
Lucky MnC,"10 saal baad dekhna hai *5 dec 2033* 💀
"
Manisha Jaishwal Mnc,"Bacho k sath aana
"
Manisha Jaishwal Mnc,"Kya pta
"
Abhishek MnC,"Bibi ke sath ...bache ni aayenge chlega
"
Lucky MnC,"Jo pichhle 25 saal mein nhi hua..ab kya khaak hoga😂
"
Lucky MnC,"nhi milne waali koi
"
Manisha Jaishwal Mnc,"Apni bezati tum apni wife k samne krwana chahoge
"
Lucky MnC,"Isse khushbu ko problem nhi hona chahiye
"
Abhishek MnC,"M to akele aaunga....m to dusri ki bibi ki baat kr rha hu😂
"
Mintu MnC,"Dekh Manisha vi tuje ""Shokti"" bol raha h🤣🤣🤣🤣
"
Souvik IIT Patna MnC,"Shakti is accent but *Shokti* is pure Love
"
-- Raja,"<Media omitted>
"
-- Raja,"<Media omitted>
"
-- Raja,"Next sem me bucket me dega kya?
"
Lucky MnC,"Ankit, Shakti, Rishav - Deep Learning lega
"
Manisha Jaishwal Mnc,"Aur maine suna ki Deep Learning JoyDeep Sir nhi padha rhe
"
Manisha Jaishwal Mnc,"Koi Aur padha rhe
"
Souvik IIT Patna MnC,"Joydeep Chandra :)
"
-- Raja,"Instructor?
"
Souvik IIT Patna MnC,"Arijit Roy?
"
Manisha Jaishwal Mnc,"Ha
"
Souvik IIT Patna MnC,"I've heard he's one level above JC
"
Lucky MnC,"Kaisa instructor hai??
"
Manisha Jaishwal Mnc,"Tb nhi le rhi DL mai
"
Souvik IIT Patna MnC,"JC ka bada vai
"
-- Raja,"Tab toh deep learning lena padega
"
Lucky MnC,"Udti teer nhi lena mujhe
"
Manisha Jaishwal Mnc,"Hein 🤣
"
Souvik IIT Patna MnC,"Misguiding !! Very clever 🤣😂
"
Manisha Jaishwal Mnc,"DL ki jagah aur kya le skte
"
Lucky MnC,"Competition Reduction Ninja Technique
"
Souvik IIT Patna MnC,"বাঁশ কেনো ঝাড়ে,
এসো আমার গাঁ*রে।
"
Souvik IIT Patna MnC,"Guys please translate ☹️
"
Lucky MnC,"Idea nhi mere ko... mathematical modelling aasan sub hai suna.. Wo lene ka soch rha mai
"
-- Raja,"MTP me ho sake toh Bengali professor k andar project lena... Thank me later
"
Manisha Jaishwal Mnc,"MTP?
"
-- Raja,"Aur tu ho bhi gya.. misguide 🤣🤣
"
